Unix,Date,Symbol,Open,High,Low,Close,Volume DOGE,Volume USDT,tradecount
1.7477E+12,5/20/2025,DOGEUSDT,0.22446,0.2308,0.21768,0.22625,1188057201,265615543,1075439
1.74761E+12,5/19/2025,DOGEUSDT,0.23309,0.23581,0.21388,0.22445,1467077135,324304109.9,1089047
1.74753E+12,5/18/2025,DOGEUSDT,0.21458,0.23779,0.21402,0.23304,1589243100,360024073.3,1373019
1.74744E+12,5/17/2025,DOGEUSDT,0.22111,0.22225,0.21074,0.21457,867614251,187308735.2,849009
1.74735E+12,5/16/2025,DOGEUSDT,0.2194,0.23095,0.21797,0.22111,991509008,223536369.1,845856
1.74727E+12,5/15/2025,DOGEUSDT,0.23279,0.23676,0.21374,0.21939,1613975945,362767842,1355315
1.74718E+12,5/14/2025,DOGEUSDT,0.24078,0.24759,0.22813,0.23278,1349205954,319738849.7,1221499
1.74709E+12,5/13/2025,DOGEUSDT,0.23102,0.24309,0.21736,0.24078,1894212060,435202800.4,1643148
1.74701E+12,5/12/2025,DOGEUSDT,0.23181,0.25341,0.22011,0.23101,3356354027,801909719.3,3663635
1.74692E+12,5/11/2025,DOGEUSDT,0.25062,0.2597,0.22211,0.23181,2657615086,630967755.1,2226011
1.74684E+12,5/10/2025,DOGEUSDT,0.2053,0.25098,0.20336,0.25063,2356324644,536013762.9,2091831
1.74675E+12,5/9/2025,DOGEUSDT,0.19818,0.2145,0.19299,0.2053,2079031356,423507376.2,2179148
1.74666E+12,5/8/2025,DOGEUSDT,0.17201,0.19842,0.17173,0.19817,1741876403,324738527.3,1838580
1.74658E+12,5/7/2025,DOGEUSDT,0.1722,0.17445,0.16901,0.17202,528808392,90937705.63,742530
1.74649E+12,5/6/2025,DOGEUSDT,0.17062,0.1726,0.16426,0.17219,596670817,100200602.3,825007
1.7464E+12,5/5/2025,DOGEUSDT,0.17048,0.17465,0.16827,0.17062,487205270,83343024,721858
1.74632E+12,5/4/2025,DOGEUSDT,0.17565,0.17744,0.1699,0.17049,487770520,84650392.55,562162
1.74623E+12,5/3/2025,DOGEUSDT,0.18151,0.1822,0.17526,0.17564,468278461,83718326.78,491262
1.74614E+12,5/2/2025,DOGEUSDT,0.18065,0.18447,0.17919,0.18151,638500248,115947565.8,852140
1.74606E+12,5/1/2025,DOGEUSDT,0.17224,0.18339,0.17205,0.18065,779064123,139327843.6,876652
1.74597E+12,4/30/2025,DOGEUSDT,0.17465,0.17665,0.16675,0.17224,784175476,135038835.3,904507
1.74588E+12,4/29/2025,DOGEUSDT,0.17908,0.18076,0.17242,0.17466,772423589,137288434.5,843406
1.74545E+12,4/24/2025,DOGEUSDT,0.17864,0.18329,0.16979,0.18254,1206412265,212939719.8,1257694
1.74537E+12,4/23/2025,DOGEUSDT,0.17864,0.18545,0.17491,0.17864,1570151007,283388554.4,1480796
1.74476E+12,4/16/2025,DOGEUSDT,0.15356,0.1574,0.15019,0.15471,719893202,110970892.1,962540
1.74468E+12,4/15/2025,DOGEUSDT,0.15854,0.16132,0.15305,0.15356,667877689,105530057.5,921935
1.74459E+12,4/14/2025,DOGEUSDT,0.1626,0.16964,0.15731,0.15854,858750230,140456563,1188723
1.7445E+12,4/13/2025,DOGEUSDT,0.16764,0.16868,0.16101,0.1626,748287850,123262111.9,999608
1.74442E+12,4/12/2025,DOGEUSDT,0.16003,0.16948,0.15772,0.16763,752366796,123796610.5,852389
1.74433E+12,4/11/2025,DOGEUSDT,0.15356,0.16246,0.15327,0.16004,744302757,117782396.2,623868
1.74424E+12,4/10/2025,DOGEUSDT,0.1603,0.16047,0.14884,0.15357,1151531192,178515344.5,756623
1.74416E+12,4/9/2025,DOGEUSDT,0.14225,0.16428,0.13651,0.16031,2200425502,330222223.6,1381538
1.74407E+12,4/8/2025,DOGEUSDT,0.14958,0.15707,0.1411,0.14225,1470208676,219641089.4,957767
1.74398E+12,4/7/2025,DOGEUSDT,0.14927,0.15407,0.12986,0.14958,3431459634,489839433.7,1859057
1.7439E+12,4/6/2025,DOGEUSDT,0.16898,0.17004,0.14582,0.14927,1124972687,175419363.2,867457
1.74381E+12,4/5/2025,DOGEUSDT,0.17128,0.17169,0.16609,0.16898,353029433,59632560.02,317278
